2020-04-06 18:33:29:208 AI等待采集任务失败[DRV]
2020-04-06 18:33:29:280 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:29:343 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:29:405 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:29:472 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:29:537 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:29:597 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:29:657 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:29:728 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:29:794 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:29:866 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:29:935 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:29:994 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:30:057 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:30:123 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:30:194 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:30:315 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:30:430 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:30:536 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:30:642 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:30:748 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:30:852 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:30:946 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:31:007 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:31:071 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:31:130 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:31:188 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:31:250 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:31:310 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:31:371 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:31:432 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:31:491 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:31:552 AI_ReadAnalog:AI_ReadBinary Error[DRV]
2020-04-06 18:33:31:617 AI_ReadAnalog:AI_ReadBinary Error[DRV]
